geneID	tf_family	selection_tissue	selection_module	reference_genome	reference_annotation	peak_count_chr1_chr10	bound_gene_count
Sobic.003G242800	WRKY	shoot	purple	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	19200	4964
Sobic.003G248400	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	54059	15110
Sobic.003G260300	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	438	262
Sobic.003G270300	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	5842	1943
Sobic.003G285500	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	65031	14474
Sobic.003G287200	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	41811	10789
Sobic.003G296300	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	93422	18293
Sobic.003G297600	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	34261	16344
Sobic.003G324400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	48019	22258
Sobic.003G337900	WRKY	shoot	turquoise	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	14711	3281
Sobic.003G341100	WRKY	root/shoot	darkgrey/purple	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	12283	4816
Sobic.003G359800	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	16961	4567
Sobic.003G373000	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	20166	6215
Sobic.003G381400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	22257	5005
Sobic.003G444000	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	2905	451
Sobic.004G065900	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	711	333
Sobic.004G070900	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	12953	4170
Sobic.004G117600	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	204	89
Sobic.004G138400	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	39579	9511
Sobic.004G158901	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	13733	4812
Sobic.004G216900	MYB	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	40829	11452
Sobic.004G219800	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	393	199
Sobic.004G248700	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	1353	570
Sobic.004G249500	CO-like	shoot	brown	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	625	316
Sobic.004G256200	CO-like	shoot	brown	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	4413	1938
Sobic.004G273800	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	18972	6552
Sobic.004G283201	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	6683	3448
Sobic.004G283300	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	82841	18314
Sobic.004G295500	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	58629	13287
Sobic.004G295600	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	22672	6551
Sobic.004G295700	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	52180	10640
Sobic.004G297100	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	27092	15942
Sobic.004G303600	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	66534	2194
Sobic.004G310600	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	33226	13508
Sobic.004G312200	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	73	47
Sobic.004G331300	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	50385	23966
Sobic.005G013500	WRKY	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	5797	1562
Sobic.005G062000	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	401	214
