sample_id	condition	treatment	treatment_duration_h	genotype	species	tissue	development_stage_dap	harvest_time	assay	modalities	platform	kit	cellranger_arc_version	reference_genome	reference_annotation	bioproject	biosample	sra_atac_accession	sra_gex_accession	library_id_atac	library_id_gex	nuclei_retained_after_qc	release_date	notes
Ctl1	Control	None	6	BTx623	Sorghum bicolor	root nuclei	13	3:00 p.m.	snMultiome	RNA+ATAC	10x Genomics / Illumina NovaSeq 6000	Chromium Next GEM Single Cell Multiome ATAC + Gene Expression	2.0.2	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1 gene annotation	PRJNA1454104	SAMN57292535	SRR38138763	SRR38138765	Sorghum_Ctl1_ATAC	Sorghum_Ctl1_GEX	1717	2027-05-31	Control root nuclei harvested at the same developmental stage and time as salinity-treated sample
NaCl1	Salinity	200 mM NaCl	6	BTx623	Sorghum bicolor	root nuclei	13	3:00 p.m.	snMultiome	RNA+ATAC	10x Genomics / Illumina NovaSeq 6000	Chromium Next GEM Single Cell Multiome ATAC + Gene Expression	2.0.2	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1 gene annotation	PRJNA1454104	SAMN57292536	SRR38138762	SRR38138764	Sorghum_NaCl1_ATAC	Sorghum_NaCl1_GEX	2184	2027-05-31	Salinity-treated root nuclei harvested 6 h after 200 mM NaCl treatment
